Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1
Tramonti,Full Serve,Italian,364 W 46th St,(212) 974-7464,,1,10036,40.760513,-73.989651,4,3,121,1025027,1010360059,Clinton                                                                    ,"364 W 46th St
(40.760513, -73.989651)"
Firebird Restaurant,Full Serve,Russian,365 W. 46th Street,(212) 586-0244,firebirdrestaurant.com,1,10036,40.760529,-73.98964,4,3,127,1025080,1010370105,Clinton                                                                    ,"365 W. 46th Street
(40.760529, -73.98964)"
Joshua Tree - CLOSED,Full Serve,American,368 W 46th St,(212) 489-1920,http://www.joshuatreebarnyc.com/,1,10036,40.760548,-73.989734,4,3,121,1025028,1010360060,Clinton                                                                    ,"368 W 46th St
(40.760548, -73.989734)"
McDonald's,Quick Serve,Fast Food,"1560 Broadway, Suite# 1651",2129218900,www.mcdonalds.com,1,10036,40.75886,-73.984843,5,4,125,1022661,1009990003,Midtown-Midtown South                                                      ,"1560 Broadway, Suite# 1651
(40.75886, -73.984843)"
Ritz Bar & Lounge,Bar / Lounge,,369 W 46th St,(212) 977-3884,,1,10036,40.760562,-73.989723,4,3,127,1025079,1010370103,Clinton                                                                    ,"369 W 46th St
(40.760562, -73.989723)"
Deacon Brodie's Tavern,Bar / Lounge,,370 W 46th St,(212) 262-1452,,1,10036,40.760565,-73.989774,4,3,121,1025035,1010360161,Clinton                                                                    ,"370 W 46th St
(40.760565, -73.989774)"
Pomaire,Full Serve,Chilean,371 W 46th St,(212) 956-3055,www.pomairenyc.com,1,10036,40.760578,-73.989763,4,3,127,1025078,1010370102,Clinton                                                                    ,"371 W 46th St
(40.760578, -73.989763)"
Red Lobster,Full Serve,Seafood,5 Times Sq,2127306706,www.redlobster.com,1,10036,40.755709,-73.987208,5,3,113,1024656,1010130029,Midtown-Midtown South                                                      ,"5 Times Sq
(40.755709, -73.987208)"
Pig 'N' Whistle,Full Serve,American,"165 W 47th St
store front",(212) 302-0112,www.pignwhistlets.com,1,10036,40.758744,-73.983504,5,4,125,1083718,1010000001,Midtown-Midtown South                                                      ,"165 W 47th St store front
(40.758744, -73.983504)"
Roxy Deli,Café / Deli,,1565 Broadway,212-921-3333,www.roxydeli.com,1,10036,40.759192,-73.985186,5,3,125,1024749,1010180139,Midtown-Midtown South                                                      ,"1565 Broadway
(40.759192, -73.985186)"
Blue Fin,Full Serve,Seafood,"W Times Square
1567 Broadway",(212) 918-1400,www.brguestrestaurants.com,1,10036,40.756582,-73.989637,5,3,113,1000000,1009950001,Midtown-Midtown South                                                      ,"W Times Square 1567 Broadway
(40.756582, -73.989637)"
The Whiskey,Bar / Lounge,,1567 Broadway,2129307444,www.midnightoilbars.com,1,10036,40.759247,-73.985168,5,3,125,1024742,1010187501,Midtown-Midtown South                                                      ,"1567 Broadway
(40.759247, -73.985168)"
Aspen Social Club,Full Serve,American,157 W 47th St,(212) 221-7200 ,http://www.aspensocialclub.com/,1,10036,40.758678,-73.983342,5,4,125,1022676,1010000007,Midtown-Midtown South                                                      ,"157 W 47th St
(40.758678, -73.983342)"
Times Deli Café,Café / Deli,,158 W 44th St,212 944-1234,,1,10036,40.756763,-73.98467,5,4,119,1022623,1009960156,Midtown-Midtown South                                                      ,"158 W 44th St
(40.756763, -73.98467)"
Starbucks,Coffee,,1585 Broadway,2125417515,www.starbucks.com,1,10036,40.760216,-73.985334,5,3,125,1076193,1010197502,Midtown-Midtown South                                                      ,"1585 Broadway
(40.760216, -73.985334)"
vacant (former starbucks),Coffee,,1600 Broadway,2122451936,www.starbucks.com,1,10019,40.76035,-73.984713,5,4,125,1087187,1010207502,Midtown-Midtown South                                                      ,"1600 Broadway
(40.76035, -73.984713)"
Spotlight Times Square,Full Serve,American,1604-1610 Broadway,2129776773,,1,10019,40.760487,-73.984648,5,4,125,1024779,1010200038,Midtown-Midtown South                                                      ,"1604-1610 Broadway
(40.760487, -73.984648)"
San Leone,Full Serve,Italian,1674 Broadway,(212) 265-1414,,1,10019,40.762861,-73.983109,5,4,131,1024831,1010240131,Midtown-Midtown South                                                      ,"1674 Broadway
(40.762861, -73.983109)"
Ellen's Stardust Diner,Full Serve,American,1650 Broadway,(212) 956-5151,www.ellensstardustdiner.com,1,10019,40.761964,-73.983684,5,4,131,1024811,1010220035,Midtown-Midtown South                                                      ,"1650 Broadway
(40.761964, -73.983684)"
New York Bagel Company,Café / Deli,,1674 Broadway,2123977720,www.networkbeyond.com,1,10019,40.762861,-73.983109,5,4,131,1024831,1010240131,Midtown-Midtown South                                                      ,"1674 Broadway
(40.762861, -73.983109)"
Crumbs,Quick Serve,Dessert,1675 Broadway,2127949800,http://crumbs.com/,1,10019,40.762963,-73.983073,5,3,131,1076199,1010240015,Midtown-Midtown South                                                      ,"1675 Broadway
(40.762963, -73.983073)"
Olive Garden Italian Restaurant,Full Serve,Italian,2 Times Sq,2123333254,www.olivegarden.com,1,10036,40.75931,-73.984857,5,4,125,1024757,1010197501,Midtown-Midtown South                                                      ,"2 Times Sq
(40.75931, -73.984857)"
Playwright Bar And Restaurant,Full Serve,American,202 W 49th St,(212) 262-9263,www.playwrighttavern.com,1,10019,40.760559,-73.983991,5,4,125,1024786,1010200136,Midtown-Midtown South                                                      ,"202 W 49th St
(40.760559, -73.983991)"
Dean & Deluca,Café / Deli,,620 Eighth Ave,2122210308,www.deandeluca.com,1,10018,40.756039,-73.990651,5,3,113,1087186,1010127501,Midtown-Midtown South                                                      ,"620 Eighth Ave
(40.756039, -73.990651)"
Subway,Quick Serve,Fast Food,214 W 50th St,2122651822,,1,10019,40.761585,-73.984456,5,3,125,1024803,1010210048,Midtown-Midtown South                                                      ,"214 W 50th St
(40.761585, -73.984456)"
Europa Café,Café / Deli,,218 W 42nd St,(212) 664-1820 x14,,1,10036,40.756382,-73.987789,5,3,113,1024662,1010130041,Midtown-Midtown South                                                      ,"218 W 42nd St
(40.756382, -73.987789)"
Uncle A's Mini Mart,Café / Deli,,220 W 41st St,(212) 921-7185,,1,10036,40.755717,-73.98828,5,3,113,1080831,1010120042,Midtown-Midtown South                                                      ,"220 W 41st St
(40.755717, -73.98828)"
The Alicart Restaurant Group,Catering,,1501 Broadway,2126759790,http://www.alicart.com/,1,10036,40.757103,-73.986193,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      ,"1501 Broadway
(40.757103, -73.986193)"
Da Marino,Full Serve,Italian,220 W 49th St,(212) 541-6601,,1,10019,40.760987,-73.984987,5,3,125,1024781,1010200049,Midtown-Midtown South                                                      ,"220 W 49th St
(40.760987, -73.984987)"
Danny's Deli,Full Serve,Italian,224 W 47th St,(212) 921-1200,,1,10036,40.759697,-73.985818,5,3,125,1024743,1010180044,Midtown-Midtown South                                                      ,"224 W 47th St
(40.759697, -73.985818)"
Lp Food & Beverage Inc/Oceo,Catering,,224 W 49th St,2122626236,www.oceo.com,1,10019,40.761014,-73.985052,5,3,125,1024782,1010200051,Midtown-Midtown South                                                      ,"224 W 49th St
(40.761014, -73.985052)"
Oceo,Full Serve,Afghan,224 West 49th Street,212 262-6236,,1,10019,40.761014,-73.985052,5,3,125,1024782,1010200051,Midtown-Midtown South                                                      ,"224 West 49th Street
(40.761014, -73.985052)"
Serafina @ Time Hotel,Full Serve,Italian,224 W 49th St,212,,1,10019,40.761014,-73.985052,5,3,125,1024782,1010200051,Midtown-Midtown South                                                      ,"224 W 49th St
(40.761014, -73.985052)"
Gallagher's Steak House,Full Serve,Steakhouse,228 W. 52nd Street,(212) 245-5336,www.gallaghersnysteakhouse.com,1,10019,40.762911,-73.98372,5,3,131,1024819,1010230048,Midtown-Midtown South                                                      ,"228 W. 52nd Street
(40.762911, -73.98372)"
Carmine's,Full Serve,Italian,200 W 44th St,(212) 221-3800,www.carminesnyc.com,1,10036,40.757405,-73.98619,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      ,"200 W 44th St
(40.757405, -73.98619)"
Carvel,Quick Serve,Dessert,1501 Broadway,212 391-6675,,1,10036,40.757103,-73.986193,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      ,"1501 Broadway
(40.757103, -73.986193)"
Coldstone Creamery,Quick Serve,Dessert,"1501 Broadway, Suite 1604",(212) 398-1882,www.coldstonecreamery.com,1,10036,40.757103,-73.986193,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      ,"1501 Broadway, Suite 1604
(40.757103, -73.986193)"
Havana Central,Full Serve,Cuban,151 West 46th Street,2123987440,www.havanacentral.com,1,10036,40.757998,-73.983667,5,4,125,1022663,1009990009,Midtown-Midtown South                                                      ,"151 West 46th Street
(40.757998, -73.983667)"
Domino's Pizza,Quick Serve,Pizza,230 W 41st St,2129440400,,1,10036,40.755802,-73.988482,5,3,113,1080830,1010120015,Midtown-Midtown South                                                      ,"230 W 41st St
(40.755802, -73.988482)"
Hurley's Steak and Seafood,Full Serve,Steakhouse,232 W 48th St,(212) 765-8981,,1,10036,40.760441,-73.985622,5,3,125,1024770,1010190054,Midtown-Midtown South                                                      ,"232 W 48th St
(40.760441, -73.985622)"
Pinnacle Bar,Full Serve,American,"234 W 42nd St
25th Floor",212-642-2607,www1.hilton.com/en_US/hi/hotel/NYCTSHF-Hilton-Times-Square-New-York/dining.do,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St 25th Floor
(40.756747, -73.988659)"
Applebee's Neighborhood Grill and Bar,Full Serve,American,234 W 42nd St,914-777-2331 Ext.116,www.ApplebeesNY.com,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St
(40.756747, -73.988659)"
Chock full o' Nuts Cafe,Café / Deli,,234 W 42nd St,2127645969,www.chockfullonuts.com,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St
(40.756747, -73.988659)"
Juniors Restaurant,Full Serve,American,1515 Broadway,212-302-2000,www.juniorscheescake.com,1,10036,40.757636,-73.985804,5,3,119,1024714,1010160036,Midtown-Midtown South                                                      ,"1515 Broadway
(40.757636, -73.985804)"
Dippin' Dots,Quick Serve,Dessert,234 W 42nd St,,www.dippindots.com,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St
(40.756747, -73.988659)"
Manchu WOK,Quick Serve,Chinese,234 W 42nd St,,www.manchuwok.com,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St
(40.756747, -73.988659)"
Ranch 1,Quick Serve,Fast Food,234 W 42nd St,,,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"234 W 42nd St
(40.756747, -73.988659)"
EASY INTERNET CAFE TIME SQUARE LLC,Café / Deli,,258 W 42nd St,,,1,10036,40.756895,-73.989009,5,3,113,1024669,1010130057,Midtown-Midtown South                                                      ,"258 W 42nd St
(40.756895, -73.989009)"
Howard Johnson's Cafe',Café / Deli,,1551-1553 Broadway,,,1,10036,40.758805,-73.985312,5,3,125,1083727,1010180026,Midtown-Midtown South                                                      ,"1551-1553 Broadway
(40.758805, -73.985312)"
Bar 10,Bar / Lounge,,270 W 43rd St,(212) 201-2764,www.westinny.com,1,10036,40.757482,-73.988309,5,3,119,1087141,1010140058,Midtown-Midtown South                                                      ,"270 W 43rd St
(40.757482, -73.988309)"
Dale & Thomas Popcorn,Quick Serve,Other,1592 Broadway,(212) 581-1872,www.daleandthomas.com,1,10036,40.759963,-73.984883,5,4,125,1024757,1010197501,Midtown-Midtown South                                                      ,"1592 Broadway
(40.759963, -73.984883)"
Encore Restaurant @ Marriott Marquis,Full Serve,American,"1535 Broadway
5th Floor",(212) 704-8849,www.NYMarriottMarquis.com,1,10036,40.758267,-73.985468,5,3,119,1024727,1010170029,Midtown-Midtown South                                                      ,"1535 Broadway 5th Floor
(40.758267, -73.985468)"
Crown Deli,Full Serve,Italian,1678 Broadway,(212) 265-1414,,1,10019,40.762977,-73.983041,5,4,131,1024831,1010240131,Midtown-Midtown South                                                      ,"1678 Broadway
(40.762977, -73.983041)"
The Two Times Square Restaurant,Full Serve,American,714 Seventh Ave,(212) 261-5200,www.twotimessquarerestaurant.com,1,10036,40.759581,-73.984366,5,4,125,1024757,1010197501,Midtown-Midtown South                                                      ,"714 Seventh Ave
(40.759581, -73.984366)"
The View Restaurant & Lounge @ Marriott Marquis,Full Serve,American,"1535 Broadway
48th Floor",(212) 704-8849,www.NYMarriottMarquis.com,1,10036,40.758267,-73.985468,5,3,119,1024727,1010170029,Midtown-Midtown South                                                      ,"1535 Broadway 48th Floor
(40.758267, -73.985468)"
Applebee's,Full Serve,American,205 W 50th St,(212) 262-4022,www.applebeesny.com,1,10019,40.761382,-73.983926,5,4,131,1024810,1010220026,Midtown-Midtown South                                                      ,"205 W 50th St
(40.761382, -73.983926)"
Social Bar NYC & Latitude Bar Grill,Full Serve,American,795 Eighth Avenue,(212) 459-0643,www.manhattan.crowneplaza.com,1,10019,40.761212,-73.9869,4,3,127,1025142,1010390030,Clinton                                                                    ,"795 Eighth Avenue
(40.761212, -73.9869)"
The Long Room,Bar / Lounge,,120 West 44th St.,(212) 997-3933,www.thelongroomnyc.com,1,10036,40.756461,-73.983952,5,4,119,1022616,1009960043,Midtown-Midtown South                                                      ,"120 West 44th St.
(40.756461, -73.983952)"
Scott Alling-Convivial Catering,Catering,,130 W 42nd St,,,1,10036,40.755278,-73.985172,5,4,113,1022577,1009940045,Midtown-Midtown South                                                      ,"130 W 42nd St
(40.755278, -73.985172)"
Gingers Restaurant,Full Serve,American,1568 Broadway,(212) 403-6371,www.nyc.doubletreehotels.com,1,10036,40.759055,-73.98471,5,4,125,1000000,1009990061,Midtown-Midtown South                                                      ,"1568 Broadway
(40.759055, -73.98471)"
Scott Alliang-Demonstration Room,Catering,,130 W 42nd St,,,1,10036,40.755278,-73.985172,5,4,113,1022577,1009940045,Midtown-Midtown South                                                      ,"130 W 42nd St
(40.755278, -73.985172)"
Blockheads,Full Serve,Mexican,825 Eighth Ave,,,1,10019,40.762074,-73.986275,4,3,127,1076203,1010400029,Clinton                                                                    ,"825 Eighth Ave
(40.762074, -73.986275)"
David's Potbelly Stove Cafe,Café / Deli,,1501 Broadway,(212) 626-9000,,1,10036,40.757103,-73.986193,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      ,"1501 Broadway
(40.757103, -73.986193)"
Time Square Deli,Café / Deli,,1501 Broadway,(212) 840-7983,,1,10036,40.757103,-73.986193,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      ,"1501 Broadway
(40.757103, -73.986193)"
Baja Fresh Mexican Grill,Quick Serve,Mexican,1441 Broadway,(212) 764-9084,,1,10018,40.754707,-73.986753,5,3,113,1022569,1009930055,Midtown-Midtown South                                                      ,"1441 Broadway
(40.754707, -73.986753)"
Bobby Van's Steakhouse,Full Serve,American,120 West 45th Street,,,1,10036,40.757117,-73.983544,5,4,119,1069581,1009970041,Midtown-Midtown South                                                      ,"120 West 45th Street
(40.757117, -73.983544)"
F & H Liquor Center Inc,Consumables,Beverages,810 7th Ave,(212) 247-4991,,1,10019,40.762639,-73.982146,5,4,131,1024828,1010240038,Midtown-Midtown South                                                      ,"810 7th Ave
(40.762639, -73.982146)"
Martini's Restaurant,Full Serve,Italian,810 7th Ave,(212) 767-1146,,1,10019,40.762639,-73.982146,5,4,131,1024828,1010240038,Midtown-Midtown South                                                      ,"810 7th Ave
(40.762639, -73.982146)"
Montenapo Restaurant,Full Serve,Italian,250 West 41st Street,(212) 764-7663 ,montenaporestaurant.com,1,10036,40.755973,-73.988886,5,3,113,1087186,1010127501,Midtown-Midtown South                                                      ,"250 West 41st Street
(40.755973, -73.988886)"
Starbucks,Coffee,,1656 Broadway,(212) 704-8937 ,,1,10019,40.762257,-73.983492,5,4,131,1024818,1010230029,Midtown-Midtown South                                                      ,"1656 Broadway
(40.762257, -73.983492)"
Aureole,Full Serve,American,1 Bryant Park,2123191660,www.charliepalmer.com,1,10036,40.755182,-73.98388,5,4,119,1087268,1009950033,Midtown-Midtown South                                                      ,"1 Bryant Park
(40.755182, -73.98388)"
Dunhill Cafe,Full Serve,American,109 W 45th St,(212) 944-8484,,1,10036,40.757026,-73.983291,5,4,119,1022641,1009980026,Midtown-Midtown South                                                      ,"109 W 45th St
(40.757026, -73.983291)"
Bubba Gump Shrimp Co.,Full Serve,Seafood,"209 Avenida Fabricante
Suite 200",(212) 391-7100,www.bubbagump.com,1,,,,,,,,,,"209 Avenida Fabricante Suite 200
(33.4463, -117.587655)"
Cranberry Gourmet,Café / Deli,,115 W 45th St,(212) 730-9495,,1,10036,40.757078,-73.983411,5,4,119,1022640,1009980024,Midtown-Midtown South                                                      ,"115 W 45th St
(40.757078, -73.983411)"
Haggis Inc,Full Serve,Scottish,120 W 44th St,2128408413,,1,10036,40.756461,-73.983952,5,4,119,1022616,1009960043,Midtown-Midtown South                                                      ,"120 W 44th St
(40.756461, -73.983952)"
Saju French Bistro @ Hotel Mela,Full Serve,French,120 W 44th St,212-977-saju,www.sajunyc.com,1,10036,40.756461,-73.983952,5,4,119,1022616,1009960043,Midtown-Midtown South                                                      ,"120 W 44th St
(40.756461, -73.983952)"
N Valenti Restaurant Associates,Catering,,120 W 45th St,2127898145,,1,10036,40.757117,-73.983544,5,4,119,1069581,1009970041,Midtown-Midtown South                                                      ,"120 W 45th St
(40.757117, -73.983544)"
Patina Restaurant Group,Catering,,120 W 45th St,(212) 789-8100,,1,10036,40.757117,-73.983544,5,4,119,1069581,1009970041,Midtown-Midtown South                                                      ,"120 W 45th St
(40.757117, -73.983544)"
Connolly's Pub And Restaurant,Bar / Lounge,,121 W 45th St,(212) 597-5126,www.ConnollysPubAndRestaurant.com,1,10036,40.75713,-73.983533,5,4,119,1022638,1009980021,Midtown-Midtown South                                                      ,"121 W 45th St
(40.75713, -73.983533)"
Cafe Un Deux Trois,Full Serve,French,123 W 44th St,(212) 354-4148,www.cafeuneuxtros.biz,1,10036,40.756491,-73.983977,5,4,119,1022629,1009970019,Midtown-Midtown South                                                      ,"123 W 44th St
(40.756491, -73.983977)"
The Perfect Pint,Bar / Lounge,,123 W 45th St,(212) 354-1099,www.theperfectpintnyc.com,1,10036,40.757147,-73.983573,5,4,119,1022657,1009980120,Midtown-Midtown South                                                      ,"123 W 45th St
(40.757147, -73.983573)"
Duvel Bar Rest,Full Serve,Belgian,125 W 43rd St,(212) 768-0200,www.bxcafe.com,1,10036,40.75586,-73.984418,5,4,119,1022614,1009960020,Midtown-Midtown South                                                      ,"125 W 43rd St
(40.75586, -73.984418)"
Trattoria Dopo Teatro,Full Serve,Italian,125 W 44th St,(212) 869-2849,dopoteatro.com,1,10036,40.756505,-73.984017,5,4,119,1022629,1009970019,Midtown-Midtown South                                                      ,"125 W 44th St
(40.756505, -73.984017)"
H&B Heartland Burgers,Full Serve,American,127 W 43rd St,(646) 366-0235,http://www.heartlandbrewery.com/Times_Square.php,1,10036,40.755873,-73.984454,5,4,119,1022613,1009960014,Midtown-Midtown South                                                      ,"127 W 43rd St
(40.755873, -73.984454)"
Heartland Brewery,Full Serve,American,127 W 43rd St,212-366-0235,www.heartlandbrewery.com,1,10036,40.755873,-73.984454,5,4,119,1022613,1009960014,Midtown-Midtown South                                                      ,"127 W 43rd St
(40.755873, -73.984454)"
Cafe O,Full Serve,American,130 W 42nd St,(212) 852-4900,,1,10036,40.755278,-73.985172,5,4,113,1022577,1009940045,Midtown-Midtown South                                                      ,"130 W 42nd St
(40.755278, -73.985172)"
NIOS Restaurant @ Muse Hotel,Full Serve,American,130 W 46th St,212 485-2400,districtnyc.com,1,10036,40.757814,-73.98328,5,4,119,1022645,1009980047,Midtown-Midtown South                                                      ,"130 W 46th St
(40.757814, -73.98328)"
O'Brien's Bar and Grill,Bar / Lounge,American,134 W 46th St,(212) 391-1516,,1,10036,40.757847,-73.98336,5,4,119,1022646,1009980050,Midtown-Midtown South                                                      ,"134 W 46th St
(40.757847, -73.98336)"
Pronto Pizza-Lemlen Pizza,Full Serve,Pizza,135 W 41st St,(212) 221-8886,,1,10036,40.754691,-73.985797,5,4,113,1022577,1009940045,Midtown-Midtown South                                                      ,"135 W 41st St
(40.754691, -73.985797)"
Bobby Vans,Full Serve,Steakhouse,135 W 50th St,212-957-5050,www.bobbyvans.com,1,10020,40.760374,-73.981533,5,4,131,1022708,1010030005,Midtown-Midtown South                                                      ,"135 W 50th St
(40.760374, -73.981533)"
Bocca To Go Cucian Italiana,Full Serve,Italian,135 W 50th St,(212) 582-3000,www.boccatogo.com,1,10020,40.760374,-73.981533,5,4,131,1022708,1010030005,Midtown-Midtown South                                                      ,"135 W 50th St
(40.760374, -73.981533)"
Pret a Manger,Café / Deli,,135 W 50th St,(212) 489-6458,,1,10020,40.760374,-73.981533,5,4,131,1022708,1010030005,Midtown-Midtown South                                                      ,"135 W 50th St
(40.760374, -73.981533)"
Dave & Buster's,Full Serve,American,2481 Manana Drive,(646) 495-2015,www.daveandbusters.com,1,,,,,,,,,,"2481 Manana Drive
(32.873859, -96.894618)"
Qdoba Mexican Grill,Quick Serve,Mexican,135 W 50th St,2127670040,www.qdoba.com,1,10020,40.760374,-73.981533,5,4,131,1022708,1010030005,Midtown-Midtown South                                                      ,"135 W 50th St
(40.760374, -73.981533)"
Moda @ Flatotel,Full Serve,Italian,135 W 52nd St,(212) 887-9880,,1,10019,40.761736,-73.980883,5,4,131,1023160,1010057501,Midtown-Midtown South                                                      ,"135 W 52nd St
(40.761736, -73.980883)"
Margon Restaurant Co.,Full Serve,Cuban,136 W 46th St,(212) 354-5013,,1,10036,40.757863,-73.9834,5,4,119,1022647,1009980051,Midtown-Midtown South                                                      ,"136 W 46th St
(40.757863, -73.9834)"
Subway,Quick Serve,Fast Food,136 W 44th St,2128400792,www.subway.com wwww.papajohns.com,1,10036,40.756587,-73.984255,5,4,119,1022618,1009960049,Midtown-Midtown South                                                      ,"136 W 44th St
(40.756587, -73.984255)"
Minar Indian Restaurant,Full Serve,Indian,138 W 46th St,(212) 398-4600,www.minarny.com,1,10036,40.757882,-73.983439,5,4,119,1022658,1009980151,Midtown-Midtown South                                                      ,"138 W 46th St
(40.757882, -73.983439)"
Jimmy's Corner,Bar / Lounge,,140 W 44th St,(212) 221-9510,,1,10036,40.75662,-73.984331,5,4,119,1022619,1009960050,Midtown-Midtown South                                                      ,"140 W 44th St
(40.75662, -73.984331)"
Metro Deli/ Ranch #1,Café / Deli,,141 W 41st St,(212) 768-1111,,1,10036,40.754756,-73.985956,5,4,113,1022574,1009940016,Midtown-Midtown South                                                      ,"141 W 41st St
(40.754756, -73.985956)"
Starbucks,Coffee,,1500 Broadway,(212) 221-7515 ,,1,10036,40.756856,-73.985973,5,4,119,1022610,1009960001,Midtown-Midtown South                                                      ,"1500 Broadway
(40.756856, -73.985973)"
"KFC, Tim Horton, Pizza Hut",Coffee,,761 Seventh Ave,(212) 767-8347,,1,10019,40.761184,-73.983186,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"761 Seventh Ave
(40.761184, -73.983186)"
Tad's Steakhouse,Full Serve,Steakhouse,761 Seventh Ave,(212) 382-1164,,1,10019,40.761184,-73.983186,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"761 Seventh Ave
(40.761184, -73.983186)"
Haagen-Dazs,Quick Serve,Dessert,761-779 Seventh Ave,,www.haagen-dazs.com,1,10019,40.761184,-73.983186,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"761-779 Seventh Ave
(40.761184, -73.983186)"
Pizza Hut,Quick Serve,Pizza,761-779 Seventh Ave,2127678347,www.pizzahut.com,1,10019,40.761184,-73.983186,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"761-779 Seventh Ave
(40.761184, -73.983186)"
T.G.I. Friday's,Full Serve,American,761 Seventh Ave,2127678349,www.tgifridays.com,1,10019,40.761184,-73.983186,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"761 Seventh Ave
(40.761184, -73.983186)"
Sbarro,Quick Serve,Pizza,701 Seventh Ave,2122219725,,1,10036,40.759293,-73.984543,5,4,125,1083718,1010000001,Midtown-Midtown South                                                      ,"701 Seventh Ave
(40.759293, -73.984543)"
Tad's Steak House,Full Serve,Steakhouse,701 Seventh Ave,(212) 767-8348,,1,10036,40.759293,-73.984543,5,4,125,1083718,1010000001,Midtown-Midtown South                                                      ,"701 Seventh Ave
(40.759293, -73.984543)"
Papa John's/Subway,Quick Serve,Pizza,765 Eighth Ave,2122451900,www.papajohns.com,1,10036,40.76029,-73.987572,4,3,127,1025055,1010370035,Clinton                                                                    ,"765 Eighth Ave
(40.76029, -73.987572)"
Europa Cafe,Café / Deli,,787 Seventh Ave,2125812517,www.europacafe.com,1,10019,40.761955,-73.982622,5,4,131,1023157,1010040020,Midtown-Midtown South                                                      ,"787 Seventh Ave
(40.761955, -73.982622)"
LyBane Wine Bar,Full Serve,Italian,709 Eighth Ave,(212) 582-2012,,1,10036,40.758885,-73.988604,4,3,121,1024992,1010350036,Clinton                                                                    ,"709 Eighth Ave
(40.758885, -73.988604)"
Charley O's,Full Serve,American,713 Eighth Ave,2129770025,,1,10036,40.759011,-73.988514,4,3,121,1024992,1010350036,Clinton                                                                    ,"713 Eighth Ave
(40.759011, -73.988514)"
Chicken Bar,Full Serve,American,717 Eighth Ave,(212) 245-5111,,1,10036,40.759264,-73.98833,4,3,121,1025011,1010360029,Clinton                                                                    ,"717 Eighth Ave
(40.759264, -73.98833)"
Starbucks,Coffee,,770 Eighth Ave,2128309001,www.starbucks.com,1,10036,40.760496,-73.987395,5,3,125,1086225,1010190001,Midtown-Midtown South                                                      ,"770 Eighth Ave
(40.760496, -73.987395)"
Pigalle,Full Serve,French,790 Eighth Ave,(212) 489-2233,www.pigallenyc.com,1,10019,40.761127,-73.98694,5,3,125,1024771,1010207501,Midtown-Midtown South                                                      ,"790 Eighth Ave
(40.761127, -73.98694)"
A Slice of New York Pizza,Quick Serve,Pizza,727 Eighth Ave,212-453-8970,,1,10036,40.759576,-73.988099,4,3,121,1081652,1010360036,Clinton                                                                    ,"727 Eighth Ave
(40.759576, -73.988099)"
Tonic Sports Bar & Restaurant,Full Serve,American,727 Seventh Ave,(212) 382-1059,www.thetonicbar.com,1,10019,40.760059,-73.984005,5,4,125,1022690,1010010004,Midtown-Midtown South                                                      ,"727 Seventh Ave
(40.760059, -73.984005)"
Daniela's Trattoria,Full Serve,Italian,728 Eighth Ave,212 869-3585,,1,10036,40.759327,-73.988258,5,3,119,1024719,1010170002,Midtown-Midtown South                                                      ,"728 Eighth Ave
(40.759327, -73.988258)"
Spice Fusion,Full Serve,Indian,777 Eighth Ave,212-757-8100,www.myspicefusion.com,1,10036,40.76068,-73.987287,4,3,127,1025101,1010380031,Clinton                                                                    ,"777 Eighth Ave
(40.76068, -73.987287)"
Latitude,Full Serve,American,783 Eighth Ave,(212) 245-3034,,1,10036,40.760814,-73.987189,4,3,127,1025103,1010380034,Clinton                                                                    ,"783 Eighth Ave
(40.760814, -73.987189)"
Brazil Grill,Full Serve,Brazilian,787 Eighth Ave,(212) 307-9449,http://cityinsights.com/newyork/brazilgrill.htm,1,10036,40.760902,-73.987124,4,3,127,1025105,1010380036,Clinton                                                                    ,"787 Eighth Ave
(40.760902, -73.987124)"
Hawaiian Tropic Zone,Full Serve,American,729 Seventh Ave,212-626-7312,www.hawaiiantropiczone.com,1,10019,40.760103,-73.983973,5,4,125,1022699,1010017501,Midtown-Midtown South                                                      ,"729 Seventh Ave
(40.760103, -73.983973)"
